tweet_id,favorites,retweets,user_followers,user_favourites,date_time
876120275196170240,28490,4903,3200891,114031,2017-06-17 16:52:05
875747767867523072,25773,4497,3200891,114031,2017-06-16 16:11:53
875144289856114688,22185,5081,3200891,114031,2017-06-15 00:13:52
875097192612077568,27997,6342,3200891,114031,2017-06-14 21:06:43
875021211251597312,26022,4922,3200891,114031,2017-06-14 16:04:48
874680097055178752,28439,4875,3200891,114031,2017-06-13 17:29:20
874434818259525634,0,15546,3200891,114031,2017-06-13 01:14:41
874296783580663808,26651,4308,3200891,114031,2017-06-12 16:06:11
874057562936811520,23134,4125,3200891,114031,2017-06-12 00:15:36
874012996292530176,35501,11007,3200891,114031,2017-06-11 21:18:31
873697596434513921,0,12518,3200891,114031,2017-06-11 00:25:14
873580283840344065,24837,4143,3200891,114031,2017-06-10 16:39:04
873337748698140672,0,1667,3200891,114031,2017-06-10 00:35:19
873213775632977920,7467,1667,3200891,114031,2017-06-09 16:22:42
872967104147763200,28031,5669,3200891,114031,2017-06-09 00:02:31
872820683541237760,15029,3884,3200891,114031,2017-06-08 14:20:41
872668790621863937,0,31,3200891,114031,2017-06-08 04:17:07
872620804844003328,21309,3911,3200891,114031,2017-06-08 01:06:27
872486979161796608,41606,9429,3200891,114031,2017-06-07 16:14:40
872261713294495745,35085,6649,3200891,114031,2017-06-07 01:19:32
872122724285648897,35324,8549,3200891,114031,2017-06-06 16:07:15
871879754684805121,39090,11918,3200891,114031,2017-06-06 00:01:46
871762521631449091,20787,3678,3200891,114031,2017-06-05 16:15:56
871515927908634625,20730,3628,3200891,114031,2017-06-04 23:56:03
871166179821445120,0,5991,3200891,114031,2017-06-04 00:46:17
871102520638267392,21461,5764,3200891,114031,2017-06-03 20:33:19
871032628920680449,23255,3999,3200891,114031,2017-06-03 15:55:36
870804317367881728,33791,6393,3200891,114031,2017-06-03 00:48:22
870726314365509632,121,3,3200891,114031,2017-06-02 19:38:25
870656317836468226,12819,2817,3200891,114031,2017-06-02 15:00:16
870374049280663552,85011,27680,3200891,114031,2017-06-01 20:18:38
870308999962521604,22453,4384,3200891,114031,2017-06-01 16:00:09
870063196459192321,37771,8840,3200891,114031,2017-05-31 23:43:25
869988702071779329,0,25661,3200891,114031,2017-05-31 18:47:24
869772420881756160,43710,10663,3200891,114031,2017-05-31 04:27:59
869702957897576449,29116,6728,3200891,114031,2017-05-30 23:51:58
869596645499047938,16476,3327,3200891,114031,2017-05-30 16:49:31
869227993411051520,21112,4023,3200891,114031,2017-05-29 16:24:37
868880397819494401,55098,12518,3200891,114031,2017-05-28 17:23:24
868639477480148993,0,2240,3200891,114031,2017-05-28 01:26:04
868622495443632128,28295,6275,3200891,114031,2017-05-28 00:18:35
868552278524837888,10539,2240,3200891,114031,2017-05-27 19:39:34
867900495410671616,24964,4439,3200891,114031,2017-05-26 00:29:37
867774946302451713,35179,7788,3200891,114031,2017-05-25 16:10:44
867421006826221569,16755,2697,3200891,114031,2017-05-24 16:44:18
867072653475098625,0,135,3200891,114031,2017-05-23 17:40:04
867051520902168576,33420,8425,3200891,114031,2017-05-23 16:16:06
866816280283807744,0,32883,3200891,114031,2017-05-23 00:41:20
866720684873056260,20888,5168,3200891,114031,2017-05-22 18:21:28
866686824827068416,20070,3727,3200891,114031,2017-05-22 16:06:55
866450705531457537,106827,32883,3200891,114031,2017-05-22 00:28:40
866334964761202691,54720,15546,3200891,114031,2017-05-21 16:48:45
866094527597207552,0,8952,3200891,114031,2017-05-21 00:53:21
